Maria,123456789,Detalhes pessoais,,,30,true,@mariaredes,Detalhes sobre Maria,Pessoal
João,987654321,Detalhes pessoais,,,35,false,@joaoredes,Detalhes sobre João,Pessoal
Ana,234567891,Detalhes pessoais,,,25,true,@anaredes,Detalhes sobre Ana,Pessoal
Pedro,876543219,,Cargo A,Empresa A,28,false,@pedroredes,Detalhes sobre Pedro,Comercial
Camila,345678912,,Cargo B,Empresa B,32,true,@camilaredes,Detalhes sobre Camila,Comercial
Gabriel,765432198,,Cargo C,Empresa C,27,false,@gabrielredes,Detalhes sobre Gabriel,Comercial
Laura,456789123,,Cargo D,Empresa D,29,true,@lauraredes,Detalhes sobre Laura,Comercial
Carlos,567891234,,Cargo E,Empresa E,31,false,@carlosredes,Detalhes sobre Carlos,Comercial
Luciana,543219876,,Cargo F,Empresa F,33,true,@lucianaredes,Detalhes sobre Luciana,Comercial
Roberto,678912345,,Cargo G,Empresa G,26,false,@robertoredes,Detalhes sobre Roberto,Comercial
gustavo,123123131,dassad,,,13,true,@dsada,sadada,Pessoal
gustavo,132131231,dasda,Cargo Gustavo,Empresa Gustavo,14,false,@sadasd,dasda,Comercial
